TICKER
WMB
IBM
ARCC
SGU
DOW
AM
AMLP
KMI
USB
NYCB
PARA
IRM
ENB
VICI
O
NEM
WPC
OMF
LABU
TNA
SOXL
MPW
MAIN
SCHD
OHI
STAG
FNDE
PFE
HYG
LQD
EMB
